state_abbr,date,handle,revenue,hold,taxes,primary_key,state,population_total,population_under_18,earnings_median,population_over_18,online,in_person,Ways_to_bet,tax_status,year,month
DE,August 2018,8018354.0,983052.0,0.123,538543.0,173,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,8
DE,September 2018,23257965.0,7807511.0,0.336,4703849.0,174,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,9
DE,October 2018,21231427.0,2565957.0,0.121,1460148.0,175,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,10
DE,November 2018,24206090.0,2505848.0,0.104,1155765.0,176,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,11
DE,December 2018,23419539.0,5810007.0,0.248,3407848.0,177,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,12
DE,January 2019,14130069.0,2687370.0,0.19,1516520.0,178,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,1
DE,February 2019,8709205.0,-616941.0,-0.071,-483414.0,179,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,2
DE,March 2019,10483128.0,1879045.0,0.179,982447.0,180,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,3
DE,April 2019,6088183.0,703739.0,0.1159999999999999,367524.0,181,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,4
DE,May 2019,5920766.0,464335.0,0.078,242081.0,182,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,5
DE,June 2019,6325464.0,533377.0,0.084,278491.0,183,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,6
DE,July 2019,3920974.0,579897.0,0.148,303225.0,184,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,7
DE,August 2019,4745747.0,586057.0,0.123,290170.0,185,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,8
DE,September 2019,18781406.0,5979895.0,0.318,3558378.0,186,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,9
DE,October 2019,16066023.0,4640776.0,0.289,2691088.0,187,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,10
DE,November 2019,16850854.0,4235148.0,0.251,2463260.0,188,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,11
DE,December 2019,20466561.0,4174862.0,0.204,2324290.0,189,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2019,12
